course_department;course_code;professor;time;course_title;completed;total_entrolled;lab_section_content;clear_and_organized;instructor_established_rapport;coordination_with_lectures;the_course_as_a_whole;instructor_was_accessible;instructor_was_challenging;amount_learned;instructor_feedback;relevance_and_usefulness_of_homework;instuctors_interest;quiz_section_content;instructor_was_knowledgeable;instructors_effectiveness;instructors_contribution;grading_techniques;instructor_overall;effectiveness_of_format;tailoring_instruction_to_skills;textbook_overall;instructor_was_enthusiastic;quiz_section_as_a_whole;procedures_and_skills_taught;the_course_content;the_lab_section_as_a_whole;rotation_and_studio_as_a_whole
AA;260;carl knowlen;su13;Thermodynamics;24;30;NULL;NULL;NULL;NULL;3.63;NULL;NULL;3.94;NULL;NULL;4.06;NULL;NULL;3.83;3.93;3.88;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.64;NULL;NULL
AA;260;david ennis;sp13;Thermodynamics;62;124;NULL;NULL;NULL;NULL;3.35;NULL;NULL;3.5;NULL;NULL;2.92;NULL;NULL;3.26;3.25;2.94;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.63;NULL;NULL
AA;260;raymond golingo;sp14;Thermodynamics;48;130;NULL;NULL;NULL;NULL;3.38;NULL;NULL;3.78;NULL;NULL;3.25;NULL;NULL;2.88;3.18;3.55;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.6;NULL;NULL
AA;301;mitsuru kurosaka;wi14;Compressible Aerodynamics;36;57;NULL;NULL;NULL;NULL;4.33;NULL;NULL;4.0;NULL;NULL;4.61;NULL;NULL;4.72;4.6;4.18;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.32;NULL;NULL
AA;302;dana dabiri;sp13;Incompressible Aerodynamics;42;61;NULL;NULL;NULL;NULL;2.83;NULL;NULL;2.97;NULL;2.93;2.7;NULL;NULL;NULL;2.88;NULL;2.89;NULL;NULL;3.25;NULL;NULL;NULL;NULL;NULL;NULL
AA;302;robert breidenthal;sp14;Incompressible Aerodynamics;34;57;NULL;NULL;NULL;NULL;3.7;NULL;NULL;3.88;NULL;3.23;3.69;NULL;NULL;NULL;3.65;NULL;3.95;NULL;NULL;3.61;NULL;NULL;NULL;NULL;NULL;NULL
AA;310;carl knowlen;au14;Orbital and Space Flight Mechanics;53;66;NULL;NULL;NULL;NULL;4.22;NULL;NULL;4.28;NULL;NULL;4.17;NULL;NULL;4.04;4.28;4.05;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.16;NULL;NULL
AA;310;james hermanson;au13;Orbital and Space Flight Mechanics;38;58;NULL;NULL;NULL;NULL;4.19;NULL;NULL;4.43;NULL;NULL;4.55;NULL;NULL;4.5;4.6;4.13;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.32;NULL;NULL
AA;311;robert breidenthal;au14;Atmospheric Flight Mechanics;35;66;NULL;NULL;NULL;NULL;3.18;NULL;NULL;3.18;NULL;NULL;3.32;NULL;NULL;3.06;3.33;2.61;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.35;NULL;NULL
AA;311;carl knowlen;au13;Atmospheric Flight Mechanics;46;57;NULL;NULL;NULL;NULL;4.21;NULL;NULL;4.43;NULL;NULL;4.42;NULL;NULL;4.17;4.32;4.21;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.16;NULL;NULL
AA;312;raymond golingo;wi14;Structural Vibrations;30;58;NULL;NULL;NULL;NULL;1.7;NULL;NULL;2.5;NULL;NULL;3.82;NULL;NULL;1.5;2.21;2.92;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.94;NULL;NULL
AA;320;adam bruckner;au14;Aerospace Instrumentation;37;66;4.29;NULL;NULL;4.6;NULL;NULL;NULL;4.3;NULL;NULL;4.68;NULL;NULL;4.12;4.25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.11;NULL
AA;320;adam bruckner;au13;Aerospace Instrumentation;55;59;3.73;NULL;NULL;4.0;NULL;NULL;NULL;3.76;NULL;NULL;4.0;NULL;NULL;3.57;3.6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.48;NULL
AA;321;adam bruckner;wi14;Aerospace Laboratory I;43;57;3.69;NULL;NULL;4.29;NULL;NULL;NULL;3.38;NULL;NULL;3.58;NULL;NULL;3.63;3.54;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.31;NULL
AA;322;adam bruckner;sp13;Aerospace Laboratory II;29;60;4.08;NULL;NULL;3.6;NULL;NULL;NULL;4.4;NULL;NULL;4.05;NULL;NULL;3.5;3.75;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.09;NULL
AA;322;adam bruckner;sp14;Aerospace Laboratory II;25;57;4.44;NULL;NULL;4.73;NULL;NULL;NULL;4.54;NULL;NULL;4.68;NULL;NULL;4.5;4.54;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.41;NULL
AA;331;jinkyu yang;wi14;Aerospace Structures I;43;58;NULL;NULL;NULL;NULL;4.14;NULL;NULL;3.83;NULL;4.31;4.82;NULL;NULL;NULL;4.78;NULL;4.7;NULL;NULL;3.93;NULL;NULL;NULL;NULL;NULL;NULL
AA;332;kuen lin;sp13;Aerospace Structures II;39;60;NULL;NULL;NULL;NULL;4.18;NULL;NULL;4.08;NULL;NULL;4.46;NULL;NULL;4.53;4.57;4.09;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.03;NULL;NULL
AA;360;mitsuru kurosaka;sp13;Propulsion;41;62;NULL;NULL;NULL;NULL;4.37;NULL;NULL;4.21;NULL;NULL;4.38;NULL;NULL;4.52;4.65;4.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.28;NULL;NULL
AA;360;mitsuru kurosaka;sp14;Propulsion;16;57;NULL;NULL;NULL;NULL;3.9;NULL;NULL;3.7;NULL;NULL;4.5;NULL;NULL;4.17;4.61;4.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.17;NULL;NULL
AA;400;carl knowlen;wi14;Gas Dynamics;20;28;NULL;NULL;NULL;NULL;3.75;NULL;NULL;3.5;NULL;NULL;4.6;NULL;NULL;3.83;4.0;4.33;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.41;NULL;NULL
AA;402;antonino ferrante;au14;Fluid Mechanics;29;38;NULL;NULL;NULL;NULL;3.93;NULL;NULL;3.59;NULL;NULL;4.17;NULL;NULL;4.0;4.2;3.67;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.55;NULL;NULL
AA;402;antonino ferrante;au13;Fluid Mechanics;24;28;NULL;NULL;NULL;NULL;4.7;NULL;NULL;4.23;NULL;NULL;4.87;NULL;NULL;4.75;4.83;4.75;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.58;NULL;NULL
AA;405;setthivoine you;au14;Introduction to Aerospace Plasmas;7;15;NULL;NULL;NULL;NULL;4.0;NULL;NULL;4.0;NULL;NULL;3.25;NULL;NULL;3.0;4.0;2.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;NULL;NULL
AA;405;uri shumlak;au13;Introduction to Aerospace Plasmas;28;29;NULL;NULL;NULL;NULL;4.54;NULL;NULL;4.5;NULL;NULL;4.63;NULL;NULL;4.68;4.8;3.42;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.66;NULL;NULL
AA;411;eli livne;sp13;Aircraft Design II;23;39;NULL;NULL;NULL;NULL;4.68;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.75;3.85;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.45;NULL;NULL
AA;411;eli livne;sp14;Aircraft Design II;29;33;NULL;NULL;NULL;NULL;4.78;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.59;4.81;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.65;NULL;NULL
AA;419;setthivoine you;wi14;Aerospace Heat Transfer;18;19;NULL;NULL;NULL;NULL;2.88;NULL;NULL;2.7;NULL;NULL;3.75;NULL;NULL;2.94;3.5;2.83;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.2;NULL;NULL
AA;420;dana andrews;wi14;Spacecraft and Space Systems Design I;19;27;NULL;NULL;NULL;NULL;2.2;NULL;NULL;2.13;NULL;2.0;2.8;NULL;NULL;NULL;2.38;NULL;2.25;NULL;NULL;2.58;NULL;NULL;NULL;NULL;NULL;NULL
AA;421;dana andrews;sp13;Spacecraft and Space System Design II;19;24;NULL;NULL;NULL;NULL;3.08;NULL;NULL;3.2;NULL;NULL;3.0;NULL;NULL;2.86;3.38;2.69;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.11;NULL;NULL
AA;421;dana andrews;sp14;Spacecraft and Space System Design II;16;27;NULL;NULL;NULL;NULL;1.5;NULL;NULL;1.5;NULL;NULL;2.17;NULL;NULL;1.25;1.75;0.83;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.75;NULL;NULL
AA;430;francesco deleo;au14;Finite Element Analysis in Aerospace;21;35;NULL;NULL;NULL;NULL;4.69;NULL;NULL;4.59;NULL;NULL;4.73;NULL;NULL;4.8;4.63;4.21;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.59;NULL;NULL
AA;430;keith holsapple;au13;Finite Element Analysis in Aerospace;15;38;NULL;NULL;NULL;NULL;2.33;NULL;NULL;2.0;NULL;NULL;2.75;NULL;NULL;1.86;2.11;3.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.31;NULL;NULL
AA;432;kuen lin;wi14;Composite Materials for Aerospace Structures;19;27;NULL;NULL;NULL;NULL;4.75;NULL;NULL;4.65;NULL;NULL;4.89;NULL;NULL;4.68;4.93;4.6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.75;NULL;NULL
AA;440;anshu narang-siddarth;wi14;Flight Mechanics I;16;23;NULL;NULL;NULL;NULL;2.75;NULL;NULL;2.64;NULL;2.38;4.3;NULL;NULL;NULL;2.36;NULL;2.5;NULL;NULL;3.0;NULL;NULL;NULL;NULL;NULL;NULL
AA;441;robert breidenthal;sp13;Flight Test Engineering;5;31;3.25;NULL;NULL;3.5;NULL;NULL;NULL;3.33;NULL;NULL;3.67;NULL;NULL;3.13;3.25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.88;NULL
AA;447;christopher lum;au13;Control in Aerospace Systems;51;60;NULL;NULL;NULL;NULL;4.33;NULL;NULL;4.38;NULL;NULL;4.52;NULL;NULL;4.81;4.7;3.34;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.56;NULL;NULL
AA;447;christopher lum;au14;Control in Aerospace Systems;39;61;NULL;NULL;NULL;NULL;4.24;NULL;NULL;4.45;NULL;NULL;4.69;NULL;NULL;4.57;4.69;4.18;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.28;NULL;NULL
AA;448;christopher lum;wi14;Control Systems Sensors and Actuators;20;23;NULL;NULL;NULL;NULL;4.88;NULL;NULL;4.87;NULL;NULL;4.77;NULL;NULL;4.88;4.94;4.55;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.83;NULL;NULL
AA;461;mitsuru kurosaka;au14;Advanced Air Breathing Propulsion;15;33;NULL;NULL;NULL;NULL;3.69;NULL;NULL;3.57;NULL;NULL;3.4;NULL;NULL;3.86;3.86;3.75;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.86;NULL;NULL
AA;461;robert breidenthal;au13;Advanced Air Breathing Propulsion;21;25;NULL;NULL;NULL;NULL;1.6;NULL;NULL;2.06;NULL;NULL;1.75;NULL;NULL;1.75;2.25;1.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.25;NULL;NULL
AA;462;carl knowlen;sp13;Rocket Propulsion;15;23;NULL;NULL;NULL;NULL;4.15;NULL;NULL;4.0;NULL;NULL;4.43;NULL;NULL;4.22;4.75;4.05;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.31;NULL;NULL
AA;462;carl knowlen;sp14;Rocket Propulsion;23;33;NULL;NULL;NULL;NULL;4.44;NULL;NULL;4.13;NULL;NULL;4.62;NULL;NULL;4.73;4.68;4.4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.44;NULL;NULL
AA;470;susan murphy;au13;Systems Engineering;24;29;NULL;NULL;NULL;NULL;4.3;NULL;NULL;4.33;NULL;NULL;3.88;NULL;NULL;4.06;4.2;4.21;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.2;NULL;NULL
AA;470;susan murphy;au14;Systems Engineering;16;26;NULL;NULL;NULL;NULL;3.36;NULL;NULL;3.31;NULL;3.83;3.92;NULL;NULL;NULL;3.7;NULL;3.83;NULL;NULL;3.5;NULL;NULL;NULL;NULL;NULL;NULL
AA;503;dana dabiri;au14;Continuum Mechanics;19;29;NULL;NULL;NULL;NULL;3.05;NULL;NULL;3.56;NULL;NULL;3.63;NULL;NULL;3.0;3.25;3.08;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.33;NULL;NULL
AA;503;iman datta;au14;Continuum Mechanics;19;29;NULL;NULL;NULL;NULL;3.25;NULL;NULL;3.3;NULL;NULL;3.75;NULL;NULL;3.81;3.81;3.25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.43;NULL;NULL
AA;504;robert breidenthal;au14;Compressible Fluid Mechanics;17;21;NULL;NULL;NULL;NULL;3.75;NULL;NULL;3.71;NULL;NULL;4.4;NULL;NULL;3.6;3.79;3.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.57;NULL;NULL
AA;504;mitsuru kurosaka;sp13;Compressible Fluid Mechanics;5;9;NULL;NULL;NULL;NULL;3.75;NULL;NULL;3.67;NULL;NULL;3.75;NULL;NULL;3.75;4.0;3.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.75;NULL;NULL
AA;504;scott eberhardt;sp14;Compressible Fluid Mechanics;8;14;NULL;NULL;NULL;NULL;3.5;NULL;NULL;3.25;NULL;NULL;4.25;NULL;NULL;2.75;3.17;3.17;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.5;NULL;NULL
AA;506;robert breidenthal;sp14;Vortex-Dominated Flows;5;12;NULL;NULL;NULL;NULL;2.67;NULL;NULL;2.67;NULL;NULL;3.17;NULL;NULL;2.25;2.75;2.33;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.75;NULL;NULL
AA;507;robert breidenthal;wi14;Fluid Mechanics;17;27;NULL;NULL;NULL;NULL;3.08;NULL;NULL;2.6;NULL;NULL;3.8;NULL;NULL;3.0;3.33;2.25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.8;NULL;NULL
AA;508;robert breidenthal;sp13;Turbulence;7;12;NULL;NULL;NULL;NULL;3.75;NULL;NULL;3.75;NULL;NULL;3.88;NULL;NULL;3.38;3.75;2.67;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;NULL;NULL
AA;510;mehran mesbahi;au14;Mathematical Foundations of Systems Theory;14;19;NULL;NULL;NULL;NULL;4.63;NULL;NULL;4.63;NULL;NULL;4.92;NULL;NULL;4.72;4.92;4.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.63;NULL;NULL
AA;510;mehran mesbahi;au13;Mathematical Foundations of Systems Theory;22;24;NULL;NULL;NULL;NULL;4.5;NULL;NULL;4.42;NULL;NULL;4.89;NULL;NULL;4.77;4.81;4.06;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.33;NULL;NULL
AA;516;anshu narang-siddarth;au14;Stability and Control of Flight Vehicles;16;20;NULL;NULL;NULL;NULL;3.88;NULL;NULL;3.9;NULL;NULL;4.83;NULL;NULL;3.83;4.5;4.1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;NULL;NULL
AA;516;stefan bieniawski;au13;Stability and Control of Flight Vehicles;10;16;NULL;NULL;NULL;NULL;4.0;NULL;NULL;4.25;NULL;NULL;4.67;NULL;NULL;3.75;4.1;2.75;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.1;NULL;NULL
AA;523;setthivoine you;au13;Special Topics in Fluid Physics;4;7;NULL;NULL;NULL;NULL;4.5;NULL;NULL;3.5;NULL;NULL;3.5;NULL;NULL;4.83;4.83;2.83;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.83;NULL;NULL
AA;524;mitsuru kurosaka;au13;Aeroacoustics;6;18;NULL;NULL;NULL;NULL;3.5;NULL;NULL;3.25;NULL;NULL;4.0;NULL;NULL;3.83;4.17;3.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.5;NULL;NULL
AA;525;mitsuru kurosaka;wi14;Special Topics in Advanced Airbreathing Engines;6;12;NULL;NULL;NULL;NULL;4.5;NULL;NULL;3.9;NULL;NULL;4.25;NULL;NULL;4.25;4.75;4.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.25;NULL;NULL
AA;527;robert folsom;au14;Space Power Systems;27;35;NULL;NULL;NULL;NULL;2.81;NULL;NULL;3.08;NULL;NULL;3.6;NULL;NULL;2.0;2.6;3.2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.18;NULL;NULL
AA;529;setthivoine you;sp13;Space Propulsion;10;24;NULL;NULL;NULL;NULL;2.75;NULL;NULL;2.1;NULL;NULL;3.17;NULL;NULL;2.75;3.0;1.7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.0;NULL;NULL
AA;530;jinkyu yang;au14;Mechanics of Solids;22;27;NULL;NULL;NULL;NULL;4.0;NULL;NULL;4.39;NULL;NULL;4.85;NULL;NULL;4.65;4.58;4.1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.1;NULL;NULL
AA;530;kuen lin;au13;Mechanics of Solids;11;27;NULL;NULL;NULL;NULL;3.63;NULL;NULL;3.2;NULL;NULL;3.2;NULL;NULL;3.08;3.38;3.38;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.42;NULL;NULL
AA;531;patrick safarian;sp14;Integrity of Metallic Aircraft Structures;2;1;NULL;NULL;NULL;NULL;4.5;NULL;NULL;4.0;NULL;NULL;4.5;NULL;NULL;4.5;4.5;4.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.5;NULL;NULL
AA;532;kuen lin;au13;Mechanics of Composite Materials;5;6;NULL;NULL;NULL;NULL;4.33;NULL;NULL;4.67;NULL;NULL;3.88;NULL;NULL;3.75;5.0;4.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;NULL;NULL
AA;532;kuen lin;au14;Mechanics of Composite Materials;6;4;NULL;NULL;NULL;NULL;4.0;NULL;NULL;4.0;NULL;NULL;4.17;NULL;NULL;3.5;4.0;3.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.83;NULL;NULL
AA;533;jeffrey miller;wi14;Materials and Processing Technology of Aerospace Composites;12;21;NULL;NULL;NULL;NULL;4.5;NULL;NULL;4.5;NULL;NULL;4.33;NULL;NULL;4.33;4.64;4.17;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.64;NULL;NULL
AA;534;paolo feraboli;sp13;Integrity of Composite Aircraft Structures;11;11;NULL;NULL;NULL;NULL;4.58;NULL;NULL;4.58;NULL;NULL;4.08;NULL;NULL;4.42;4.29;4.4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.58;NULL;NULL
AA;534;patrick safarian;sp14;Integrity of Composite Aircraft Structures;9;19;NULL;NULL;NULL;NULL;2.25;NULL;NULL;2.25;NULL;3.67;3.0;NULL;NULL;NULL;2.63;NULL;2.8;NULL;NULL;3.0;NULL;NULL;NULL;NULL;NULL;NULL
AA;538;eli livne;au13;Introduction to Structural Optimization;17;22;NULL;NULL;NULL;NULL;4.13;NULL;NULL;4.56;NULL;NULL;4.65;NULL;NULL;4.25;4.65;3.72;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.33;NULL;NULL
AA;543;uri shumlak;wi14;Computational Fluid Dynamics;24;31;NULL;NULL;NULL;NULL;4.32;NULL;NULL;4.25;NULL;NULL;4.17;NULL;NULL;4.78;4.79;3.31;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.25;NULL;NULL
AA;544;antonino ferrante;sp13;Turbulence Modeling and Simulation;7;11;NULL;NULL;NULL;NULL;4.33;NULL;NULL;4.63;NULL;NULL;4.8;NULL;NULL;4.63;4.63;4.13;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.33;NULL;NULL
AA;544;antonino ferrante;sp14;Turbulence Modeling and Simulation;5;8;NULL;NULL;NULL;NULL;4.33;NULL;NULL;4.25;NULL;NULL;3.75;NULL;NULL;4.33;4.33;3.67;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;NULL;NULL
AA;545;uri shumlak;sp13;Computational Methods for Plasmas;3;6;NULL;NULL;NULL;NULL;4.75;NULL;NULL;4.75;NULL;NULL;5.0;NULL;NULL;4.75;4.75;4.25;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.75;NULL;NULL
AA;548;mehran mesbahi;wi14;Linear Multivariable Control;19;29;NULL;NULL;NULL;NULL;4.19;NULL;NULL;4.05;NULL;NULL;4.87;NULL;NULL;4.14;4.44;3.75;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.05;NULL;NULL
AA;549;kristi hill;sp13;State Estimation and Kalman Filtering;12;42;NULL;NULL;NULL;NULL;4.0;NULL;NULL;4.25;NULL;NULL;4.4;NULL;NULL;3.93;4.0;3.63;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;NULL;NULL
AA;554;eli livne;sp14;Aeroelasticity;20;27;NULL;NULL;NULL;NULL;4.13;NULL;NULL;4.4;NULL;NULL;4.55;NULL;NULL;4.1;4.67;3.81;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.5;NULL;NULL
AA;557;thomas jarboe;wi14;Physics of Fusion Plasmas;9;12;NULL;NULL;NULL;NULL;2.63;NULL;NULL;2.25;NULL;NULL;2.67;NULL;NULL;2.75;2.7;2.08;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.0;NULL;NULL
AA;558;uri shumlak;sp14;Plasma Theory;11;15;NULL;NULL;NULL;NULL;4.25;NULL;NULL;4.4;NULL;NULL;4.0;NULL;NULL;4.71;4.81;4.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.08;NULL;NULL
AA;560;roger smith;au14;Plasma Diagnostics;10;11;NULL;NULL;NULL;NULL;3.33;NULL;NULL;3.9;NULL;NULL;3.21;NULL;NULL;3.1;3.1;3.75;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.07;NULL;NULL
AA;564;setthivoine you;sp14;Kinetic Theory/Radiative Transfer;4;4;NULL;NULL;NULL;NULL;3.5;NULL;NULL;3.5;NULL;NULL;3.83;NULL;NULL;4.0;3.5;1.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.83;NULL;NULL
AA;580;kristi hill;sp14;Geometric Methods for Non-Linear Control Systems;8;8;NULL;NULL;NULL;NULL;3.5;NULL;NULL;3.5;NULL;NULL;4.5;NULL;NULL;3.75;3.5;3.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.9;NULL;NULL
AA;597;airlie chapman;sp14;Networked Dynamics Systems;19;19;NULL;NULL;NULL;NULL;4.06;NULL;NULL;4.06;NULL;NULL;4.33;NULL;NULL;4.15;4.64;3.08;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3.6;NULL;NULL
AA;597;prachya panyakeow;sp14;Networked Dynamics Systems;12;19;NULL;NULL;NULL;NULL;4.13;NULL;NULL;3.83;NULL;NULL;3.17;NULL;NULL;3.5;3.0;3.75;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;NULL;NULL
AA;598;kristi hill;au14;Special Topics in Aeronautics and Astronautics;5;7;NULL;NULL;NULL;NULL;3.75;NULL;NULL;4.0;NULL;NULL;3.67;NULL;NULL;3.25;3.0;4.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;NULL;NULL
AA;598;kuen lin;au14;Special Topics in Aeronautics and Astronautics;3;14;NULL;NULL;NULL;NULL;4.0;NULL;NULL;3.25;NULL;NULL;4.25;NULL;NULL;4.0;4.0;3.0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;NULL;NULL
AA;598;antonino ferrante;wi14;Special Topics in Aeronautics and Astronautics;8;13;NULL;NULL;NULL;NULL;3.75;NULL;NULL;4.0;NULL;NULL;3.75;NULL;NULL;3.5;3.5;3.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4.0;NULL;NULL
